weiboID	pubcontent
4456068992182160	#你好/num#新年第一天元气满满的早起出门买早饭结果高估了自己抗冻能力回家成功冻发烧（大概是想告诉我/num要量力而行）然鹅这并不影响后续计划一出门立马生龙活虎新年和新??更配哦??看了误杀吃了大餐就让新的一年一直这样美滋滋下去吧???
4456424178427250	大宝又感冒鼻塞咳嗽了，还有发烧。队友加班几天不回。感觉自己的情绪在家已然是随时引爆的状态。情绪一上来，容易对孩子说出自己都想不到的话来……/num年，真的要学会控制情绪，管理好家人健康。这是今年最大的目标。?
4456797466940200	还要去输两天液，这天也太容易感冒发烧了，一定要多喝热水啊?
4456791021108920	我太难了别人怎么发烧都没事就我一检查甲型流感?
4457086404997440	果然是要病一场的喽回来第三天开始感冒今儿还发烧了喉咙眼睛都难受的一匹怎么样能不经意让我的毕设导师看到这条微博并给我放一天假呢?
4457152129019640	/num的下半年遇到了很好的室友们老师们同学们也越来越相信自己可能很多人觉得我走路带飞做pre淡定又自信但是好像很多不足这个事实只有自己知道小心翼翼掩盖着觉得只要不提起来就好但是自己骗自己始终是容易的最难的是老师一针见血指出我的问题和我的优点时我才发现我本没有必要遮遮掩掩导师?展开全文c
4457827361629760	我这种人就活该被病死，发烧两天了，但还是管不住自己的嘴，今天在家躺了一天饭没吃，苹果柚子柑子草莓麻辣洋芋片吃了个遍，就在刚刚我打开了美团，本想点稀饭，结果我点了烧烤?
4458609708660190	【孩子感冒发烧要留心】孩子感冒发烧问题不大，但是一旦感冒发烧期间这个孩子出现精神比较差、整天就是吐、整天不睡觉或者整天睡觉、整天烦躁、整天昏昏欲睡等等，家长觉得这孩子跟平常不一样，这种时候一定要及时去看医生。?
4458599680017930	在哪里存在感都极低的我，感觉要发烧了?
4458853061816280	我的天~为啥发烧了我靠……浑身关节疼…真mmp应景哈哈哈哈?
4459689523639890	#小树成长记录#今天下午发烧/num，现在体温仍然没有恢复正常，持续观察中。?
4459663745597810	对一个人失望是什么样子的？应该是你发烧了他还在埋冤你当初问什么不听他的话，而不是守在你身边照顾你对一家人失望是什么样子的？应该是在你最艰难的时候没有人管你，问候你一句累不累终于明白为什么那么多人宁愿成剩女也不愿意结婚生子?
4458970833619120	儿子发烧只有我最着急这个点大冬天/num℃咋整?
4460049088641370	恋家的宝贝//@:回家就好了
4460408020984770	呵呵，南开大学校长曹雪涛学术造假事件和饶毅实名举报三位大咖的学术造假事件都跨年了，也没个说法，这居然又来了一个学术不端
4460044734718810	昨天有一条小鱼??自己跳出鱼缸变成鱼干了，卡包也丢了，今天我又受了委屈，晚上还发烧???，哎。万般皆苦，唯有自渡?
4460057116667200	佩服我自己，发烧/num，居然烧得肚子饿了[快哭了]，这比发烧还难受。?
4460053245947360	人生的第一次期末考试前，他发烧了。?
4460003047662520	发烧第三天，以为退烧了，晚上又不舒服了同事说想隔离我??一烧就没耐性对什么都没兴趣还各种口出狂言，所以我想快点病好?
4460406158654420	第一次生病发烧?感冒咳嗽可怜的小朋友这几天受罪了老母亲的心碎了?
4460417973233560	与小学生的日常小对话：??老师，你很凶??老师对你们凶是为你们好~??老师，你能不能温柔点教我做作业??可以啊，只有你们听话就好~??老师，你今天戴眼镜了，好丑??好吧~我原谅你（童言无忌）????老师，我今天发烧了，你对我好点（一脸委屈巴巴的样子）?展开全文c
4460420603967690	No./num跑步-/numK老张发烧了今晚好忙碌刚都弄好好累呀?
4460666649465060	感冒发烧不想吃药打针那就挺着别说难受?
4460783620098110	嗓子疼头疼还发烧还带着伤我觉得这个寒假是来渡劫的?
4461139519472380	大瘦再和我追了十集《锦衣之下》后，睡着了，在孩子发烧的晚上我总是会睡不着觉，好像要守着他们一样，某人十一点打来电话询问病情，汇报了病情挂电话，多一句都不想问。这次出差，我完全没有关心的想法，我自洽还来不及呢。/num兰州?
4461131160371150	享享发烧???崩溃?
4461488888731490	事实证明人在发烧时表现出来的才是最真实的自己。?
4462104544972710	其在拍照的r候我有c小l我@??生命、用??l?
4462559836736440	发烧???~~~O绿洲?
4462918689545870	截至/num月/num日，在深圳、北京等多地也出现了新型冠状病毒感染病例，武汉也在人流密集的地方开始了严格的体温筛查。如何预防感染？如果出现咳嗽、发烧这些疑似肺炎的呼吸道症状，就医过程中要注意些什么？O扩散丨一图看懂“新型肺炎”防治手册！?
4463222482234740	//@:【呼吁！现在能不到武汉去就不去】钟南山院士建议，如果感觉身体不舒服，就不要春运出行了，尤其是身体发烧，尤其是身在武汉。假如说发烧还要出行回老家的话，相关部门检测到后，应该依法依规要求他们不要出去。这是要提高防范级别，而不是单纯的劝阻。#专家建议武汉现在能不去就别去#
4463282205450510	预祝香港人心想事成！//@:那就祝他们心想事成吧//@:香港完全不值得信任。//@:逻辑不一样，国内基本上初筛确定才是疑似，HK是咳嗽发烧来自湖北都是疑似。现在网友说HK做法对，大陆垃圾。要是大陆按HK的逻辑，/num%恐慌，然后还是大陆垃圾。
4468230968346510	#饶毅#?
4468341035434870	为饶毅点赞，中国需要您这样发声的人！
4468603934195360	饶毅教授??掰
4463919710511440	武汉给市民朋友的一封信武汉一女子低烧咳嗽，春节档电影全部撤档利用退烧药降温后成功到达法国。出入境检查只量体温，而且是用红外摄像头测的，存在一定误差。这名女子为了跟闺蜜旅行，不主动申报自己的病情，靠吃药降温通过了检查，成功与闺蜜在法国“胜利会师”。发烧感冒并不一定是肺?
